username,password,firstname,lastname,email
sv100001,StudentPassword123@,Cường,Phạm,sv100001@vnu.edu.vn
sv100002,StudentPassword123@,Minh,Phạm,sv100002@vnu.edu.vn
sv100003,StudentPassword123@,Xuân,Trần,sv100003@vnu.edu.vn
sv100004,StudentPassword123@,Nam,Bùi,sv100004@vnu.edu.vn
sv100005,StudentPassword123@,Minh,Lê,sv100005@vnu.edu.vn
sv100006,StudentPassword123@,Dũng,Bùi,sv100006@vnu.edu.vn
sv100007,StudentPassword123@,Phong,Đặng,sv100007@vnu.edu.vn
sv100008,StudentPassword123@,Hùng,Phạm,sv100008@vnu.edu.vn
sv100009,StudentPassword123@,Phong,Bùi,sv100009@vnu.edu.vn
sv100010,StudentPassword123@,Nam,Nguyễn,sv100010@vnu.edu.vn
sv100011,StudentPassword123@,Dũng,Đặng,sv100011@vnu.edu.vn
sv100012,StudentPassword123@,Cường,Hoàng,sv100012@vnu.edu.vn
sv100013,StudentPassword123@,Khánh,Võ,sv100013@vnu.edu.vn
sv100014,StudentPassword123@,Hương,Phạm,sv100014@vnu.edu.vn
sv100015,StudentPassword123@,Thảo,Nguyễn,sv100015@vnu.edu.vn
sv100016,StudentPassword123@,Dũng,Lê,sv100016@vnu.edu.vn
sv100017,StudentPassword123@,Quân,Bùi,sv100017@vnu.edu.vn
sv100018,StudentPassword123@,An,Võ,sv100018@vnu.edu.vn
sv100019,StudentPassword123@,Sơn,Trần,sv100019@vnu.edu.vn
sv100020,StudentPassword123@,Hương,Nguyễn,sv100020@vnu.edu.vn
sv100021,StudentPassword123@,Sơn,Lê,sv100021@vnu.edu.vn
sv100022,StudentPassword123@,Hùng,Vũ,sv100022@vnu.edu.vn
sv100023,StudentPassword123@,Hùng,Bùi,sv100023@vnu.edu.vn
sv100024,StudentPassword123@,Quân,Trần,sv100024@vnu.edu.vn
sv100025,StudentPassword123@,Cường,Bùi,sv100025@vnu.edu.vn
sv100026,StudentPassword123@,Trang,Võ,sv100026@vnu.edu.vn
sv100027,StudentPassword123@,Xuân,Vũ,sv100027@vnu.edu.vn
sv100028,StudentPassword123@,An,Bùi,sv100028@vnu.edu.vn
sv100029,StudentPassword123@,Linh,Hoàng,sv100029@vnu.edu.vn
sv100030,StudentPassword123@,Hương,Võ,sv100030@vnu.edu.vn
sv100031,StudentPassword123@,Quân,Võ,sv100031@vnu.edu.vn
sv100032,StudentPassword123@,Đạt,Trần,sv100032@vnu.edu.vn
sv100033,StudentPassword123@,Sơn,Hoàng,sv100033@vnu.edu.vn
sv100034,StudentPassword123@,Linh,Võ,sv100034@vnu.edu.vn
sv100035,StudentPassword123@,Hương,Phan,sv100035@vnu.edu.vn
sv100036,StudentPassword123@,Đạt,Lê,sv100036@vnu.edu.vn
sv100037,StudentPassword123@,Bình,Võ,sv100037@vnu.edu.vn
sv100038,StudentPassword123@,Xuân,Lê,sv100038@vnu.edu.vn
sv100039,StudentPassword123@,Cường,Lê,sv100039@vnu.edu.vn
sv100040,StudentPassword123@,Đạt,Vũ,sv100040@vnu.edu.vn
